id,created_at,base_currency,counter_currency,bid_user_id,ask_user_id,volume
281474984428384,2020-02-27T09:27:56.78Z,XBT,ZAR,1d3532eefe5f5f5ff3ae29fa5925b88abce1466dd6a5b82798af0a8ff592e94e,df47d6cf7ed05fdcb982a1242cd2a2c0ea2fcc589ce3018d0dfc0c044131e413,0.064148000000000000
1407374886010026,2020-03-28T09:16:59.325Z,XBT,NGN,6c603dbc904f1baed7bec1cbc02621516470692315c8f62a3aa5b945fd199d6f,3795b87d5a77123f4a3be8504f91f61b82bf4a915084a81de9d2ccecc1a28045,0.029302000000000000
281474984281784,2020-01-22T21:14:34.457Z,XBT,ZAR,3c8b66a3e678ea924d50e2c1613a20b3eed7c74363267ff73da899290bdf3677,b79426a7ed7f5c05de1becee11c015161380879289b5879d862129769abadeec,0.131893000000000000
281474984409684,2020-02-23T07:32:21.551Z,XBT,ZAR,1573a69edab87584281237ad74ee817b6d1370a97081e63b8ac313949874bd1e,3795b87d5a77123f4a3be8504f91f61b82bf4a915084a81de9d2ccecc1a28045,0.005517000000000000
281474984409878,2020-02-23T09:13:02.842Z,XBT,ZAR,1573a69edab87584281237ad74ee817b6d1370a97081e63b8ac313949874bd1e,3795b87d5a77123f4a3be8504f91f61b82bf4a915084a81de9d2ccecc1a28045,0.003231000000000000
281474984391984,2020-02-18T11:27:55.903Z,XBT,ZAR,42c22d0760eb017843442ac3b43be73d94e3db1cb9b842e976354d009e35794e,a9267a3f225bcf145cb594629cd2737fbb511263600ab9b8c4c46abe68f0df02,0.029000000000000000
4222124650663405,2020-02-20T06:31:22.665Z,ETH,MYR,9016b21928ed542f5e076b8b3fc5d5e036e3359627b924eca2d76ce5c43c1851,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.100000000000000000
4222124650663814,2020-02-24T16:18:47.182Z,ETH,MYR,9e8797273dec0453a59e5d306d2838cb96a7b5474122f1eb8814e9af6d332b31,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.100000000000000000
4222124650664734,2020-02-28T07:35:50.12Z,ETH,MYR,1bcebb24b8ef475543e99eed331ea5ab86b03d8df786c9bb12c080dada36e257,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,5.880000000000000000
4222124650666533,2020-03-12T10:42:07.628Z,ETH,MYR,489892a511385e3551d0b3d1679e6ccd99c84d668fd73742882eaa480417d1a9,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.150000000000000000
1125899908450949,2020-01-23T09:06:16.025Z,XBT,MYR,c8ce24d4c3cb45950347ca1224e0df6e2287dc072978836d16a3a764cbea4b0e,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.045000000000000000
1125899908476713,2020-02-14T05:52:44.638Z,XBT,MYR,37ecd53963f6fdd6d596f206891fd1b0eb7e105449bcc1642b0f6139acff106a,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.011790000000000000
1125899908481669,2020-02-17T12:21:10.629Z,XBT,MYR,3795b87d5a77123f4a3be8504f91f61b82bf4a915084a81de9d2ccecc1a28045,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.024732000000000000
1125899908491247,2020-02-25T15:22:10.477Z,XBT,MYR,3795b87d5a77123f4a3be8504f91f61b82bf4a915084a81de9d2ccecc1a28045,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.005019000000000000
1125899908494934,2020-02-27T09:34:02.66Z,XBT,MYR,d4f831ebb7a61979ab7022366d67758135c78d76eb72ac33aa3d3dc5c892a3ff,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.020000000000000000
1125899908496106,2020-02-28T07:48:49.346Z,XBT,MYR,bbf687be0f8f1e1ca3bb471623e7d24d1f163bf02314f30fd524162bd69fde31,9af41b84c0500648afb96e28fe45dc84782febbbc743ba7bce6bd61bd5ab0467,0.002500000000000000
